name,centrality_score
JFK Airport,6.529530280266275
Upper East Side South,6.332136345419181
Upper East Side North,6.311209194032435
Lenox Hill West,4.530307125246603
Midtown Center,4.4566172795962276
Murray Hill,4.396858841954086
Upper West Side South,4.166788870103615
Penn Station/Madison Sq West,4.109680759291102
Lincoln Square East,4.038105262042448
Upper West Side North,3.890208169852379
Midtown East,3.8876448117949147
Union Sq,3.8489679329144706
East Village,3.6934551592321516
Yorkville West,3.595969365520524
Gramercy,3.4811880052963606
Lenox Hill East,3.4549745459023047
LaGuardia Airport,3.4513111725885888
Clinton East,3.368498187178273
Sutton Place/Turtle Bay North,3.3477655773126194
Midtown North,3.1875775548682364
Forest Hills,3.1799915958000615
West Village,3.0730950988014043
East Harlem South,3.051651518534482
East Chelsea,3.0352601934610264
Midtown South,2.866730411709807
East Harlem North,2.632870596808301
Kips Bay,2.5766496583144147
Flatiron,2.5206825364445793
Times Sq/Theatre District,2.458318754276534
Central Park,2.4078386240864935
Yorkville East,2.313637541737073
TriBeCa/Civic Center,2.275093436289491
Greenwich Village North,2.260162013054854
UN/Turtle Bay South,2.216020559154762
Garment District,2.14320354150783
West Chelsea/Hudson Yards,2.1389361754089258
Lincoln Square West,2.1098272842049908
Manhattan Valley,2.051543972342614
Central Harlem,1.9366030708093607
Baisley Park,1.8292944949800025
Greenwich Village South,1.7579492726739745
Jamaica,1.7235905393260782
Lower East Side,1.7075351144450979
Central Harlem North,1.5907311646393387
Morningside Heights,1.5663228591825207
Little Italy/NoLiTa,1.5203573515023114
South Ozone Park,1.4750696808508352
Washington Heights South,1.4589534779635267
Fort Greene,1.4138762057350038
Downtown Brooklyn/MetroTech,1.3404338863451102
Bloomfield/Emerson Hill,1.3314468649414912
Clinton West,1.3267269822613001
Astoria,1.3236053236106153
Elmhurst,1.317353521016259
SoHo,1.2851890000708563
Park Slope,1.2217660613023416
Meatpacking/West Village West,1.1980120511901011
Jackson Heights,1.1761007252094138
Grymes Hill/Clifton,1.1716605543387744
Saint George/New Brighton,1.1529361384532981
Stapleton,1.081147556577957
New Dorp/Midland Beach,1.0534863430699877
Financial District North,1.0464611529099768
Rockaway Park,1.0193434379094946
Boerum Hill,0.991974137996218
Springfield Gardens South,0.9403880306636363
Kew Gardens,0.9317235907548057
Far Rockaway,0.9259918891659542
Hamilton Heights,0.8892369916117656
Battery Park City,0.8881987918454453
Brooklyn Heights,0.8849582475578344
Crown Heights North,0.8750528529637948
Bloomingdale,0.8506612745133446
Heartland Village/Todt Hill,0.8435365508207798
South Beach/Dongan Hills,0.8405029622076011
Sunnyside,0.8399256475073436
Hudson Sq,0.8128403708835694
Coney Island,0.8001124556407304
Two Bridges/Seward Park,0.7978216868051102
East Elmhurst,0.795995127374094
Hammels/Arverne,0.7957305799908376
Flushing,0.7885518348406866
Rego Park,0.7767458564499201
Van Nest/Morris Park,0.7571424431641705
Springfield Gardens North,0.7477414416291676
World Trade Center,0.735644790633833
Westerleigh,0.7275948021670975
Woodside,0.7215992859891818
Steinway,0.6892852784532135
Bay Ridge,0.676499168103633
Arden Heights,0.6731151635670879
Briarwood/Jamaica Hills,0.6644904298957554
Flatbush/Ditmas Park,0.6551579437548682
Port Richmond,0.6523227261179847
Saint Albans,0.6397100957717226
